nombre,poblacion,superficie,continente
Afganistán,40754388,652230,Asia
Albania,2842321,28748,Europa
Alemania,83149300,357022,Europa
Andorra,77543,468,Europa
Angola,34795287,1246700,África
Antigua y Barbuda,93763,443,América
Arabia Saudita,35844909,2149690,Asia
Argelia,44903225,2381741,África
Argentina,45376763,2780400,América
Armenia,2971966,29743,Asia
Australia,25921000,7692024,Oceanía
Austria,9027999,83871,Europa
Azerbaiyán,10139177,86600,Asia
Bahamas,393248,13943,América
Bangladés,166303498,147570,Asia
Barbados,281635,430,América
Baréin,1463265,765,Asia
Bélgica,11589623,30528,Europa
Belice,397628,22966,América
Benín,12123200,112622,África
Bielorrusia,9449323,207600,Europa
Bolivia,11833000,1098581,América
Bosnia y Herzegovina,3280819,51197,Europa
Botsuana,2630296,581730,África
Brasil,213993437,8515767,América
Brunéi,441532,5765,Asia
Bulgaria,6520314,110879,Europa
Burkina Faso,21510181,274222,África
Burundi,11890784,27834,África
Bután,771608,38394,Asia
Cabo Verde,555987,4033,África
Camboya,16718965,181035,Asia
Camerún,27914536,475442,África
Canadá,38246108,9984670,América
Catar,2930524,11586,Asia
Chad,16425864,1284000,África
Chile,19116201,756102,América
China,1412600000,9596960,Asia
Chipre,1207359,9251,Europa
Colombia,51874024,1141748,América
Comoras,836774,2235,África
Corea del Norte,25971909,120538,Asia
Corea del Sur,51744876,100210,Asia
Costa Rica,5153957,51100,América
Costa de Marfil,26378274,322463,África
Croacia,4047200,56594,Europa
Cuba,11317505,109884,América
Dinamarca,5873420,42924,Europa
Dominica,71986,751,América
Ecuador,17888475,283561,América
Egipto,102334404,1001449,África
El Salvador,6486201,21041,América
Emiratos Árabes Unidos,9890402,83600,Asia
Eritrea,3546421,117600,África
Eslovaquia,5459642,49035,Europa
Eslovenia,2100126,20273,Europa
España,47351567,505990,Europa
Estados Unidos,331449281,9372610,América
Estonia,1330068,45228,Europa
Esuatini,1160164,17364,África
Etiopía,117876227,1104300,África
Filipinas,109581085,300000,Asia
Finlandia,5530719,338424,Europa
Fiyi,896444,18274,Oceanía
Francia,67391582,551695,Europa
Gabón,2225734,267668,África
Gambia,2416668,11295,África
Georgia,3989167,69700,Asia
Ghana,31072940,238533,África
Granada,113021,344,América
Grecia,10718565,131957,Europa
Guatemala,16858333,108889,América
Guinea,13132795,245857,África
Guinea-Bisáu,1967998,36125,África
Guinea Ecuatorial,1402985,28051,África
Guyana,786552,214969,América
Haití,11402528,27750,América
Honduras,10278345,112492,América
Hungría,9749763,93028,Europa
India,1380004385,3287263,Asia
Indonesia,273523615,1904569,Asia
Irak,40222493,438317,Asia
Irán,83992949,1648195,Asia
Irlanda,5123536,70273,Europa
Islandia,366425,103000,Europa
Islas Marshall,42050,181,Oceanía
Islas Salomón,686884,28896,Oceanía
Israel,9216900,20770,Asia
